	Last updated on 23/10/2024	
51	198130006	Female pelvic inflammatory disease (disorder)
52	408394009	Under care of diabetic foot screener (finding)
53	892281000000101	Referral to healthy lifestyle programme
54	1322871000000109	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result positive
55	1049001000000103	Meningitis ACW and Y vaccination invitation second letter
56	185603003	Cervical smear - 1st recall
57	712805000	Assessment of environmental risk done
58	439141002	Discharge by mental health primary care worker (procedure)
59	409137002	No known drug allergy (situation)
60	270431009	Incoming mail processing (procedure)
61	266917007	Trivial drinker - <1u/day (finding)
62	770411000000102	Referral to general practitioner out of hours service (procedure)
63	494821000000100	Advice to carer regarding management of infantile colic (procedure)
64	936701000000103	Requires contact by SMS (short message service) text message
65	171234009	Nephropathy screening
66	1092031000000108	Ex-smoker amount unknown (finding)
67	160583004	Ex-light drinker - (1-2u/day) (finding)
68	758661000000102	NHS health check declined
69	986691000000106	Personal financial circumstances reviewed
70	976631000000101	White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census
71	185675006	BP abnormal - 3rd recall
72	182878004	Medication increased (finding)
73	143651000000103	Seen by pharmacy technician (finding)
74	304713009	Beliefs about pain control questionnaire (assessment scale)
75	160638007	Aerobic exercise twice a week (finding)
76	248461000000107	Coronary heart disease monitoring telephone invite
77	955031000000100	Seen by Community Navigator (finding)
78	923361000000106	Diabetic foot care education
79	1321231000000101	Signposting to COVID-19 Home Management Service
80	711431000000109	Chronic obstructive pulmonary disease monitoring invitation
81	395076009	Bereavement support
82	513571000000107	Lithium Monitoring first letter
83	824631000000102	Individual funding request
84	928971000000108	Referral letter sent
85	981981000000105	NHS AAA screening programme initial screening incomplete, did not attend
86	925581000000109	Latent tuberculosis screening invitation first letter
87	1322801000000101	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result indeterminate
88	975151000000106	Signposting to service
89	714671000000106	Prevention/screening administration (record artifact)
90	1137690000	Never used electronic cigarette (finding)
91	439140001	Exercise leaflet given
92	1067011000000101	Rheumatoid arthritis monitoring short message service text message second invitation
93	266896003	Family history of ischaemic heart disease at greater than 60 years
94	734948002	Number of times reliever inhaler used per week (observable entity)
95	160726006	Lives alone no help available (finding)
96	723620004	Requires vaccination (finding)
97	413559006	Anticoagulation declined (situation)
98	1403101000000104	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation email
99	228447005	Physically Active
100	955691000000108	Seasonal influenza vaccination given by pharmacist (situation)
101	165224005	Independent feeding (finding)
102	880461000000109	Postnatal examination invitation
103	184133001	Questionable if patient telephone number correct
104	699823003	Provision of written information
105	170668004	GIT (Gastrointestinal tract disease) monitoring
106	2461000000106	Bill/fee sent (administrative concept)
107	185601000000109	Referral to Expert Patient Programme
108	846081000000103	Declined consent for Electronic Prescription Service (finding)
109	75088002	Urgent desire to urinate
110	862011000000104	Bowel cancer screening programme telephone invitation
111	441839001	Education about folic acid in first trimester (procedure)
112	1324741000000101	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination first dose declined
113	4201000000101	GP58 - newborn registration
114	185661004	Adult abnormal - third recall (procedure)
115	986831000000106	Royal Marines veteran (finding)
116	795661000000104	Requires contact by telephone
117	1084131000000102	Signposting to health trainer (procedure)
118	134285005	Reads Bengali
119	1.10494E+15	Patient Health Questionnaire-4 (assessment scale)
120	1087441000000106	Smoking cessation programme declined (situation)
121	160938009	House rented from council (finding)
122	933851000000101	Faecal calprotectin test positive (finding)
123	941841000000104	Impaired glucose regulation monitoring invitation third letter
124	1.11092E+15	Quality and Outcomes Framework diabetes mellitus quality indicator-related care invitation
125	980641000000103	NHS Health Check invitation SMS
126	1324721000000108	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination dose declined
127	1129401000000102	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 8 - very severely frail (finding)
128	492771000000103	Health visitor child 6 weeks of age contact (procedure)
129	871521000000104	First intranasal influenza vaccination declined (situation)
130	46206005	Mood disorder (disorder)
131	872761000000109	On musculoskeletal care pathway
132	835591000000101	At high risk of falls (finding)
133	839811000000106	Diabetic retinopathy screening declined (situation)
134	185559001	Child immunization - first call
135	38651000000103	Other note (record artifact)
136	160377001	Family history: Asthma (situation)
137	413159000	Referral to musculoskeletal clinic (procedure)
138	161138004	Literacy problems (finding)
139	425691002	Consent given for electronic record sharing (finding)
140	408382000	Home visit planned by healthcare professional
141	439724007	Family history of cardiovascular disease in 1st degree male relative <55 years
142	871401000000109	Withdrawn from research study (finding)
143	297250002	No family history of stroke
144	977791000000109	Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census
145	65568007	Cigarette smoker (finding)
146	162999005	On examination - pulse rhythm regular
147	376591000000106	Peripheral vascular disease monitoring invitation (procedure)
148	1.12794E+15	Vaccine body site of administration simple reference set
149	413762006	Carer of a person with mental health problem
150	185734008	Asthma monitoring call third letter (procedure)
151	57676002	Joint pain
152	312452009	Aspirin prophylaxis
153	858561000000104	Safe Sleeping Assessment
154	185460008	Home visit request by patient (procedure)
155	1083391000000101	Signposting to dementia support service
156	1325031000000108	Referral to post-COVID assessment clinic
157	162397003	Pain in throat
158	1084211000000102	Signposting to substance misuse service
159	823911000000104	Letter sent about missed general practitioner appointment (finding)
160	39116211000001106	Generic COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (product)
161	1382581000000103	Referral to Medical Examiner Service (procedure)
162	1.32162E+15	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) immunity status equivocal
163	405737000	Pharyngitis
164	401066000	Family history of myocardial infarction in 1st degree female relative <65 years
165	413153004	Blood pressure recorded by patient at home
166	289083006	Does not perform breast-feeding (finding)
167	199361000000101	Is no longer a carer
168	412752009	Diabetic foot examination declined
169	391156007	Medication review without patient
170	162148004	Complaining of perineal pain (finding)
171	894721000000100	Frequent non-attender
172	143431000000108	Quality and Outcomes Framework mental health quality indicator-related care invitation using preferred method of communication
173	160936008	Houseowner - no mortgage (finding)
174	1085711000000105	Signposting to NHS 111 service
175	56717001	Tuberculosis (disorder)
176	754731000000108	Carer annual health check (procedure)
177	185830005	Well adult monitoring first Letter
178	717471000000101	Dementia monitoring second letter
179	164854000	ECG normal
180	374231000000104	High risk of heart failure screening invitation (procedure)
181	836481000000107	Cervical smear screening invitation second SMS message text
182	200501000000103	Influenza vaccination invitation third letter sent (finding)
183	185351004	Administrative reason for encounter (finding)
184	933601000000101	Post hospital discharge followed up within 3 days (procedure)
185	767621000000102	Referral for physical activity service offered (finding)
186	699945003	Main spoken language Bulgarian
187	415044007	Patient given advice about management of depression (situation)
188	266920004	Trivial cigarette smoker (less than one cigarette/day)
189	79015004	Worried (finding)
190	829261000000109	Patient narrative (record artifact)
191	408529006	Main spoken language Malayalam
192	871661000000106	Referral to smoking cessation service
193	939531000000109	Provision of written information about acute kidney injury
194	394872000	Ready to stop smoking (finding)
195	370388006	Patient immunocompromised
196	80313002	Palpitations
197	160616005	Trying to give up smoking (finding)
198	202451000000100	Thyroid monitoring call
199	261324000	Vehicle (physical object)
200	716241000000106	Chronic obstructive pulmonary disease monitoring first letter
201	28010004	Shiite muslim
202	845091000000108	Education for psoriasis care (procedure)
203	43381005	Passive smoker/exposed to second hand tobacco smoke
204	248491000000101	Follow-up consultation for minor injury (procedure)
205	43724002	Chill
206	59621000	Essential hypertension (disorder)
207	717361000000100	Exception reporting - chronic kidney disease quality indicators (finding)
208	926971000000107	Education about acne management (procedure)
209	1.32285E+15	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result indeterminate
210	920741000000101	Did not attend nurse appointment
211	281078001	Health education - alcohol
212	266925009	Ex-very heavy cigarette smoker (40+/day)
213	1084281000000109	Signposting to social prescribing service
214	517251000000105	Understands importance of blood pressure monitoring and control (finding)
215	976671000000104	White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census
216	932381000000106	Education about access to Patient Facing Service
217	1.32348E+15	Adult not brought to appointment
218	381751000000106	Sofa surfer - person of no fixed abode (finding)
219	713671000000109	Diabetes monitoring administration
220	1110901000000109	QOF Dementia quality indicator-related care invitation
221	310840001	No consent for second measles, mumps and rubella vaccine
222	160476009	Social / personal history observable (observable entity)
223	302320003	Milk-free diet (finding)
224	224221006	Lives in warden controlled accommodation (finding)
225	783401000000101	Stop smoking invitation first short message service text message
226	310503003	Diet average (finding)
227	39114911000001105	COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (AstraZeneca UK Ltd) (product)
228	880529761000119102	Lower respiratory infection caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
229	394684000	Diabetic pre-pregnancy education
230	1.32618E+15	Assessment for familial hypercholesterolaemia (procedure)
231	184081006	Patient has moved away (finding)
232	924331000000103	Did not attend general practitioner appointment (finding)
233	247951000000102	Requires a pneumococcal vaccination (finding)
234	313149002	Uses spacer device (finding)
235	160363004	Family history of transient ischaemic attack
236	228523000	Exposed to tobacco smoke at work (finding)
237	467531000000108	[V]Fracture follow-up (situation)
238	897931000000108	Remote care monitoring commenced
239	986471000000105	Active serving member of the Army (occupation)
240	44054006	Diabetes mellitus type 2 (disorder)
241	410224008	Mental health care education (procedure)
242	846686009	Injection site itching (finding)
243	315566006	Main spoken language Arabic
244	407645004	Dizziness on standing up (finding)
245	307048004	Feeling isolated (finding)
246	892301000000100	Asthma management plan declined (situation)
247	401269004	Fear of falling (finding)
248	315575008	Main spoken language Hindi
249	1097321000000106	Signposting to pregnancy counselling service (procedure)
250	376621000000109	Peripheral vascular disease monitoring first letter (procedure)
251	170985004	Person counseled (situation)
252	1104601000000107	Cervical smear screening done by other healthcare provider (situation)
253	25261000000107	Did not attend smoking cessation clinic (finding)
254	414670001	Mental health monitoring second letter
255	160542002	Atheist
256	1053451000000106	Personal Wellbeing Score rating - I was not anxious yesterday (observable entity)
257	340931000000101	Asthma trigger - warm air
258	1321781000000107	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result unknown
259	526941000000109	Pre-conception advice for patients with epilepsy (procedure)
260	777811000000101	Human papillomavirus vaccination third invitation SMS text message sent
261	91921000000100	Care Programme Approach care co-ordinator (occupation)
262	413143000	Mental health medication review (procedure)
263	871731000000106	Referral to social prescribing service
264	712491005	Completion of learning disabilities health action plan
265	1083221000000106	Signposting for National Health Service Health Check (procedure)
266	204801000000108	Reads Greek
267	35240004	Iron deficiency (disorder)
268	767641000000109	Referral for smoking cessation service offered
269	407622005	Many seizures a day (finding)
270	977811000000105	Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census
271	407559004	Family history unknown (situation)
272	248611000000108	Carer of a person with a terminal illness
273	716971000000109	Heart Failure monitoring first letter
274	149631000000108	Digital cognitive behavioural therapy for depression (regime/therapy)
275	423475008	Heart failure education
276	414041006	Does not have a caregiver (finding)
277	815691000000107	Shared decision making
278	714311000000108	Patient "recall" admin.NOS
279	911541000000105	Provision of information about opting out of SCR
280	783441000000103	Stop smoking invitation second short message service text message
281	161036002	Housing adequate (finding)
282	1403041000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation first short message service text message
283	310879007	Cholesterol reduction program - invited (finding)
284	203151000000104	Cholesterol Test Declined
285	527171000000103	Patient has a written asthma personal action plan
286	1240631000000102	Did not attend SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination
287	526511000000104	Referral to health care assistant (procedure)
288	370204008	Asthma causes daytime symptoms most days
289	1009221000000105	Helicobacter breath test (observable entity)
290	840539006	COVID-19
291	1.06691E+15	Diabetes monitoring SMS text message first invitation
292	401139002	On four or more medications (finding)
293	404640003	Dizziness (finding)
294	704046000	Mental health assessment declined
295	247441003	Erythema (finding)
296	279681000000105	Dispensing review of use of medicines
297	977971000000108	White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census
298	204461000000105	Discussion about information sharing (procedure)
299	40384711000001104	Comirnaty Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.2ml dose concentrate for dispersion for injection multidose vials 10 dose - Pfizer Ltd
300	416727009	Reads Farsi
301	864611000000103	Recommendation to have child immunised against measles, mumps and rubella (procedure)
302	440583007	Sexual orientation unknown (finding)
303	1321000000100	MED3 - doctor's statement (record artifact)
304	849821000000104	Invitation for Electronic Prescription Service (procedure)
305	16514006	Moist skin
306	185560006	Child immunization - second call
307	273316000	Behavioral screening questionnaire (assessment scale)
308	313375009	Seen in private clinic (finding)
309	366874008	Number of asthma exacerbations in past year
310	185689001	Adult immunization - first recall (procedure)
311	299671000000102	Safe disposal of drug (procedure)
312	320041000000109	Consent withdrawn to share patient data with specified third party
313	1084451000000104	Signposting to minor illness clinic
314	185627001	Cervical Smear defaulter
315	955651000000100	Seasonal influenza vaccination given by other healthcare provider
316	1084941000000109	Signposting to accident and emergency service (procedure)
317	394703002	COPD annual review
318	716981000000106	Atrial fibrillation monitoring second letter
319	170709001	Epilepsy drug side effect (finding)
320	811981000000102	Diabetes self-management plan agreed
321	224253002	Penetrating damp in home (finding)
322	225330006	Client participation (procedure)
323	183096003	Self-help advice leaflet given
324	11207009	Structure of right thigh (body structure)
325	384241000000100	Bowel cancer screening programme faecal occult blood testing incomplete participation (finding)
326	836861000000101	Does not have mobile telephone (finding)
327	1363851000000101	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination fifth dose declined
328	710566000	Discussion about bariatric operative procedure
329	868551000000105	Herpes zoster vaccination declined (situation)
330	386807006	Memory impairment (finding)
331	108290001	Radiotherapy
332	408575003	Family history: Not known - Adopted (situation)
333	1362521000000101	Referral to CPCS (Community Pharmacist Consultation Service) declined
334	198981000000100	Prescription sent to pharmacy
335	707087005	At increased risk of domestic violence (finding)
336	752221000000109	Consent given by person with parental responsibility (finding)
337	822991000000104	Consent given for seasonal influenza vaccination (finding)
338	57671000052108	Chronic Obstructive Pulmonary Disease Assessment Test scale (assessment scale)
339	867691000000102	First Primary Immunisation Invitation second letter
340	882401000000106	Rheumatoid Arthritis monitoring invitation first letter
341	315583002	Main spoken language Somali
342	1110841000000103	QOF Asthma quality indicator-related care invitation
343	413131001	Assessment of needs - review
344	112911000000105	STC1 steroid treatment card
345	415805003	Uses Makaton sign language (finding)
346	473226007	Heart failure medication review
347	390930009	Cervical smear overdue (finding)
348	1110881000000106	QOF secondary prevention of coronary heart disease quality indicator-related care invitation
349	185656001	Adult screening - second recall (procedure)
350	977391000000108	Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census
351	803861000000104	Community DMARD monitoring third letter
352	523221000000100	NHS Health Check completed
353	170780004	Thyroid disease monitoring (regime/therapy)
354	698909009	Main spoken language Latvian (finding)
355	897951000000101	Remote care monitoring ended
356	839291000000101	Provision of information on services for carers (procedure)
357	927941000000103	Pre-assessment questionnaire completed (situation)
358	771155005	Brief intervention for smoking cessation
359	200481000000107	Influenza vaccination invitation first letter sent (finding)
360	310253005	Bone densimetry normal (finding)
361	1403071000000108	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation first letter
362	110011000000107	Did not attend COPD clinic
363	343851000000105	Contraceptive check first letter (procedure)
364	134267003	Reads Urdu
365	711441000000100	Dementia monitoring invitation
366	160636006	Aerobic exercise zero times a week (finding)
367	860781000000108	Provision of written information about bowel cancer screening programme (procedure)
368	224256005	Mold on surfaces in home (finding)
369	204341000000103	Makaton sign language interpreter needed
370	722499006	User of electronic cigarette
371	165645009	Serum vitamin B12 below reference range (finding)
372	45089002	Normal vision (finding)
373	1078521000000108	Did not attend general practitioner access hub appointment
374	771491000000104	Referral to local authority weight management programme
375	248411000000105	Atrial fibrillation annual review (regime/therapy)
376	1325221000000101	Telehealth pulse oximetry monitoring not appropriate
377	340911000000109	Asthma trigger - pollen
378	273510007	Health assessment questionnaire (assessment scale)
379	271809000	Peripheral edema (disorder)
380	243072006	Cancer education (procedure)
381	777771000000101	Human papillomavirus vaccination second invitation SMS text message sent
382	275983007	Influenza immunization advised (finding)
383	183962007	Patient non-compliant with specific advice (situation)
384	185539000	Initial patient "call"
385	901441000000108	Child not brought to appointment
386	272028008	C/O - anosmia
387	1129381000000102	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 6 - moderately frail (finding)
388	522381000000101	Ear care information leaflet given (situation)
389	1239581000000107	Total diet replacement programme declined (situation)
390	1085221000000107	Blood pressure monitoring invitation second letter (procedure)
391	407650005	Main spoken language Croatian (finding)
392	4.0389E+16	Generic Comirnaty Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.2ml dose concentrate for dispersion for injection multidose vials
393	858301000000107	Pre-diabetes
394	160481000	Social group (observable entity)
395	382161000000102	Advice given about bowel cancer screening programme
396	430705002	Family history of malignant neoplasm of ovary (situation)
397	862251000000105	In-house follow-up (procedure)
398	715821000000107	Dementia monitoring first letter
399	160684002	Confined to chair (finding)
400	861231000000105	Ambulatory blood pressure recording declined (situation)
401	185660003	Adult abnormal - Second recall (procedure)
402	279231000000108	Anticoagulation monitoring in primary care
403	370205009	Asthma causes night symptoms 1 to 2 times per month
404	1085251000000102	Signposting to general practice extended hours service (procedure)
405	1.36206E+15	Inclisiran refused (situation)
406	185561005	Child immunization - third call
407	185667000	BP screen - 3rd call
408	1104761000000101	Child health surveillance offered (situation)
409	862731000000105	Uses guide dog for the blind (finding)
410	281018007	Ex-cigarette smoker (finding)
411	986571000000106	Active serving member of the Royal Air Force Reserve (occupation)
412	1103721000000106	Breastfeeding support offered (situation)
413	87522002	Iron deficiency anemia
414	426026005	Difficulty managing medication due to special need (finding)
415	49650001	Dysuria (finding)
416	751311000000102	Has an informal carer (finding)
417	911741000000101	Recommendation to take home made oral nutritional supplements (procedure)
418	413763001	Carer of a person with physical disability
419	148561000000109	QOF non-diabetic hyperglycaemia quality indicator-related care invitation
420	119731000146105	Cardiomyopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
421	986511000000101	Active serving member of the Royal Navy (occupation)
422	298141000000107	Did not attend chronic kidney disease monitoring clinic
423	780816009	Invitation to participate in research study
424	200971000000100	Depression screening using questions (procedure)
425	391011003	Osteoporosis telephone invitation
426	978271000000103	Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census
427	160576006	Moderate drinker - 3-6u/day (finding)
428	978381000000105	Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census
429	888111000000103	Cervical smear - human papillomavirus positive
430	422293003	New York Heart Association Classification - class IV
431	198061000000105	Uses hearing loop (finding)
432	816711000000104	Gestational diabetes mellitus annual review
433	165355002	Patient informed - test result
434	714355000	Assessment using Short Warwick-Edinburgh Mental Well-being Scale (procedure)
435	911361000000104	Consent given to receive test results by SMS text messaging
436	183049006	Patient given advice
437	2051000000104	Letter sent to patient
438	33553000	Widowed (finding)
439	308722001	Patient asked to attend (finding)
440	803821000000107	Community DMARD monitoring first letter
441	201741000000102	Did not attend child immunisation
442	889901000000108	Advice on risks of harm to fetus from maternal medication during pregnancy
443	310243009	Nutritional assessment (procedure)
444	224490004	Carer is reluctant to care
445	716311000000100	Excepted from COPD quality indicators - patient unsuitable
446	717571000000100	New appointment
447	711411000000101	Atrial fibrillation monitoring invitation
448	896031000000105	Herpes zoster vaccination invitation second letter
449	185713001	Breast screening non-attender (finding)
450	281341005	Awaiting request (finding)
451	428330008	Preferred mode of communication (observable entity)
452	787621000000100	Medication monitoring second letter
453	699376002	Lip swelling (finding)
454	957351000000102	Requires written information in at least 24 point sans serif font
455	53496003	Irrigation of nasal sinus (procedure)
456	752341000000109	Coeliac disease monitoring invitation third letter
457	438825005	Family history of cardiovascular disease in 1st degree female relative <65 years
458	1240731000000107	Advice given about SARS-CoV-2 by telephone
459	718426000	Warwick Edinburgh Mental Well Being Scale Score
460	183695003	Obstetric self-referral
461	506931000000109	Recent travel to disease affected area
462	366740002	Sikh
463	415631003	Stroke/TIA monitoring third letter
464	926141000000104	Latent tuberculosis screening offered
465	224190007	Income sufficient to meet needs (finding)
466	143421000000106	Quality and Outcomes Framework hypertension quality indicator-related care invitation using preferred method of communication
467	716751000000102	Lipid disorder monitoring second letter (procedure)
468	14041000000105	Military administrative status (finding)
469	310429001	Smoking monitoring invitation
470	845171000000108	At risk of cardiovascular disease (finding)
471	1240531000000103	Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
472	275981009	Screening for malignant neoplasm of lung (procedure)
473	60621009	Body Mass Index
474	933041000000109	Armed forces reservist (occupation)
475	867511000000107	Child immunisation invitation second SMS text message
476	273689006	Patient satisfaction score
477	782555009	Allergy to cow's milk protein (finding)
478	1240561000000108	Encephalopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
479	170929008	Repeat prescription treatment stopped (situation)
480	134431007	Child health promotion
481	306741000000104	Referral to diabetes education and self management for ongoing and newly diagnosed diabetes structured programme
482	325911000000101	Consultation via multimedia encounter type
483	396275006	Osteoarthritis (disorder)
484	959711000000107	PSA monitoring SMS third invitation
485	1325051000000101	Newcastle post-COVID syndrome Follow-up Screening Questionnaire
486	976911000000101	Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census
487	3.91161E+16	Generic COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) (product)
488	310428009	Obesity monitoring inviation
489	102589003	Atypical chest pain (finding)
490	134275009	Reads Portuguese
491	39326811000001106	Generic COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5mL dose dispersion for injection multidose vials (product)
492	717081000000107	Exception reporting - general practitioner contract quality indicators (finding)
493	315594003	Interpreter needed (finding)
494	198351000000105	Cervical smear disclaimer sent
495	39326611000001107	Generic COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5ml dose dispersion for injection multidose vials 100 dose 10 x 10 dose vials (product)
496	170660006	Not using inhaled steroids (finding)
497	771941000000102	Asthma causes symptoms most nights
498	716131000000105	Excepted from dementia quality indicators - informed dissent
499	385891009	Mental health promotion (regime/therapy)
500	6471006	Suicidal thoughts (finding)
501	1162737008	Self reported systolic blood pressure (observable entity)
502	225131002	Application of cream to skin
503	750821000000109	Consent given for follow-up evaluation after smoking cessation intervention (finding)
504	185540003	Second patient "call" (procedure)
505	714801000000104	Influenza vaccination administration
506	1083241000000104	Signposting to community physiotherapist
507	247351000000103	Consent for Primary Care Trust to review patient records
508	91935009	Allergy to peanut (finding)
509	717021000000106	Chronic obstructive pulmonary disease monitoring second letter
510	736595007	Screening for malignant neoplasm of cervix (cervical smear) declined
511	160314003	Family history: Hypercholesterolemia (situation)
512	164846002	ECG requested
513	1085371000000101	Signposting to health and wellbeing worker
514	160870005	Child in care (finding)
515	702348006	Active duty military (occupation)
516	1025271000000103	National Health Service Diabetes Prevention Programme started (situation)
517	753651000000107	Military Veteran
518	1362411000000108	Referral for provision of steroid emergency card
519	148541000000108	Excepted from non-diabetic hyperglycaemia quality indicators - informed dissent (finding)
520	165650003	Serum folate below reference range (finding)
521	717511000000105	Chronic Kidney Disease Monitoring Telephone Invitation
522	327101000000108	Disposal of sharps (procedure)
523	427625003	Respiratory health self management education (procedure)
524	286363002	Unable to use language (finding)
525	64299003	Relaxation training therapy
526	345681000000104	Patient requests copy of medical record
527	880351000000104	Repeat dispensing service offered
528	844961000000102	Influenza vaccination invitation first email (procedure)
529	720376002	Registered for access to online patient education (finding)
530	1325251000000106	Referral to telehealth pulse oximetry monitoring service
531	368208006	Left upper arm structure (body structure)
532	391167008	Quality of life assessment completed (situation)
533	882321000000105	Rheumatoid arthritis monitoring invitation
534	979171000000104	Informed dissent for local clinical audit (finding)
535	412725004	Medication Review Declined
536	248371000000106	Epilepsy monitoring telephone invitation
537	412768003	Body mass index 20-24 - normal (finding)
538	40384611000001108	Comirnaty Children 5-11 years COVID-19 mRNA Vaccine 10micrograms/0.2ml dose concentrate for dispersion for injection multidose vials - Pfizer Ltd
539	785721000000102	Referral to community ophthalmology service
540	1240711000000104	Educated about SARS-CoV-2
541	185756006	Diabetes monitoring first letter
542	941821000000106	Impaired glucose regulation monitoring invitation second letter
543	404903008	Uses sign language (finding)
544	1.08503E+15	Home blood pressure monitoring declined (situation)
545	134284009	Reads Cantonese
546	224486001	Cares for a neighbour
547	1083411000000101	Signposting to self-management support service
548	161527007	History of asthma (situation)
549	424739004	Income sufficient to buy only necessities (finding)
550	160633003	Enjoys heavy exercise (finding)
551	926811000000109	Education about thyroid disease in pregnancy (procedure)
552	1.0253E+15	Referral to NHS Diabetes Prevention Programme declined
553	777731000000103	Human papillomavirus vaccination first invitation SMS text message sent
554	505001000000109	Measles mumps rubella catch-up vaccination (procedure)
555	376561000000100	Advice about long acting reversible contraception
